Symbol,RSI_12M
AACB,100.0
AAM,100.0
ALDF,100.0
AIFE,100.0
DYNX,100.0
DTSQ,100.0
ALF,100.0
ASPC,100.0
BACQ,100.0
BEAG,100.0
CAPN,100.0
CHAR,100.0
CUB,100.0
EQV,100.0
VCIC,100.0
RANG,100.0
RIBB,100.0
SBXD,100.0
TDAC,100.0
SVCC,100.0
PLMK,100.0
POLE,100.0
RDAC,100.0
LOKV,100.0
NHIC,100.0
NTWO,100.0
MLAC,100.0
MBAV,100.0
MACI,100.0
GIG,100.0
HSPT,100.0
GRAF,100.0
FVN,100.0
FSHP,100.0
FACT,100.0
EURK,100.0
YHNA,100.0
WLAC,100.0
EPSM,98.6815415821501
CEP,98.23992589161648
CEPO,97.79411764705874
CCIR,96.5517241379311
MSIF,96.523178807947
HOND,96.00000000000009
FBLA,95.77464788732402
ECG,95.53372041089773
DRDB,95.23809523809533
OS,94.38700147710479
FDSB,94.33962264150954
CURB,94.27480916030527
SIMA,93.75000000000014
SW,92.89289289289283
LPAA,92.85714285714303
FLG,91.69960474308304
CRWV,91.3682277318641
MDU,90.63063063063063
LIMN,90.5016447368421
NVA,90.45801526717557
CTEV,90.04360465116278
VACH,90.0
PTHL,89.92918961447678
NOEM,88.88888888888758
SNRE,88.83447600391773
TBN,88.39406207827261
PRMB,87.83216783216785
HVII,87.50000000000028
TLX,87.10280373831779
ATII,86.66666666666683
BGM,86.42384105960264
FERA,86.36363636363659
GSRT,86.20689655172386
TVRD,85.20710059171593
INR,85.07462686567162
VENU,84.65909090909092
TWFG,84.32835820895521
OACC,84.3137254901961
RAC,84.21052631578976
BKV,84.1444270015698
DMAA,83.33333333333358
MRP,81.90591073582632
STRZ,81.78466076696165
COLA,81.25000000000021
JACS,80.00000000000036
RHLD,79.48068397720078
AAPG,78.63695937090434
BBNX,77.70326906957251
HTO,77.31788079470195
SOBO,76.83523654159872
QSEA,75.0
MAZE,74.46592065106816
GSHR,72.72727272727317
CEPT,72.51908396946567
TVA,72.22222222222206
ETOR,68.66902237926973
TIC,68.15068493150686
AHL,64.86825595984944
DEFR,64.28571428571423
AII,62.895927601809916
ANTA,54.036598493003225
GLXY,41.168831168831176
