Symbol,Price_Increase_Percentage
PTHL,1343.1818181818182
CTEV,752.2916666666667
LIMN,506.3636363636364
CEP,498.09809809809803
BGM,489.28571428571433
CRWV,397.25455088033425
NVA,336.7816091954023
EPSM,309.0487238979119
RHLD,207.64835164835165
STRZ,187.25
BBNX,175.59055118110234
TVRD,175.5823293172691
ANTA,172.03140333660454
MAZE,153.3532041728763
ECG,148.37476099426388
TLX,123.07127112417339
TBN,119.04761904761905
OS,112.04313960455362
MRP,87.10526315789473
VENU,86.09929078014183
AAPG,81.63636363636363
KG,79.42467089224766
BKV,78.53333333333335
TWFG,72.92351008916003
INR,68.62170087976538
TIC,63.19999999999999
MNTN,56.5028901734104
FLG,55.957943925233636
SW,53.98540934882465
MSIF,50.74999999999999
GLXY,47.85992217898835
FDSB,47.20812182741117
PRMB,46.866038508807875
CURB,36.64893617021277
MDU,35.638297872340424
CCIR,34.57661290322581
ETOR,33.47826086956522
SOBO,30.43478260869566
FBLA,29.86748216106014
SNRE,29.775678866587956
CEPO,29.482071713147423
HTO,27.299042529503463
HOND,23.636363636363633
MBAV,22.2668004012036
GRAF,22.037652270210415
AII,21.410736579275905
HNGE,20.362737015663633
AHL,14.024005053695518
BEAG,13.821138211382108
GSRT,13.286004056795136
VACH,12.562814070351761
POLE,12.386706948640489
LPAA,10.766045548654235
NOEM,10.224948875255624
OACC,9.04522613065327
SBXD,8.944723618090459
CEPT,8.888888888888879
MACI,8.844221105527646
CHAR,8.400809716599191
AAM,8.333333333333314
EQV,8.198380566801605
WLAC,8.163265306122437
ALDF,7.979797979797971
VCIC,7.831325301204813
RANG,7.366296670030277
DYNX,7.259713701431501
YHNA,7.107107107107098
LOKV,7.0408163265306065
ASPC,6.532663316582919
ALF,6.325301204819267
CUB,5.923694779116464
CAPN,5.226130653266345
DTSQ,5.120481927710841
RIBB,5.025125628140704
FSHP,5.0100200400801596
BACQ,4.999999999999984
DRDB,4.964539007092201
GIG,4.954499494438829
SIMA,4.924623115577892
JACS,4.828973843058355
FACT,4.7715736040609205
HSPT,4.295704295704293
RDAC,4.104104104104105
FVN,4.020100502512566
AIFE,3.9433771486349722
EURK,3.892215568862281
NTWO,3.744939271255052
SVCC,3.6180904522613186
DMAA,3.2160804020100535
PLMK,3.118712273641856
MLAC,3.118712273641856
HVII,3.058103975535157
AACB,2.7411167512690313
NHIC,2.738336713995957
FERA,2.735562310030409
GSHR,2.6130653266331816
RAC,2.5329280648429586
TDAC,2.400000000000002
ATII,2.309236947791151
BOBP,2.214930270713711
DEFR,2.2132796780683988
TVA,1.8036072144288546
UYSC,1.617795753286149
COLA,1.507537688442215
QSEA,0.6024096385542039
PMVC,0.0
