Date,Symbol,BanDurationInMonths
2025-01-01,MSFT,3
2025-01-08,WGS,3
2025-01-08,RGTI,3
2025-01-08,RCAT,3
2025-01-08,JFBR,3
2025-01-09,ATGL,3
2025-01-09,GMM,6
2025-01-09,AENT,3
2025-01-09,EOSE,3
2025-01-09,LUNR,3
2025-01-09,NEOV,3
2025-01-09,AZ,3
2025-01-09,RKLB,3
2025-01-09,SATX,3
2025-01-09,FOA,3
2025-01-09,MFH,3
2025-01-09,ZVIA,3
2025-01-09,REAL,3
2025-01-09,MOB,3
2025-01-09,VUZI,3
2025-01-09,RZLT,3
2025-01-09,SRRK,3
2025-01-09,BFLY,3
2025-01-09,PSNL,3
2025-01-09,KC,3
2025-01-09,OKLO,3
2025-01-09,SUPV,3
2025-01-09,BYRN,3
2025-01-09,CNVS,3
2025-01-09,MESO,3
2025-01-09,TMQ,3
2025-01-09,CMMB,3
2025-01-09,PULM,3
2025-01-09,BBAR,3
2025-01-09,BMA,3
2025-01-09,KOD,3
2025-01-09,PLTR,3
2025-01-09,OMER,3
2025-01-09,ARQT,3
2025-01-09,GGAL,3
2025-01-09,QURE,3
2025-01-09,NCTY,3
2025-01-09,ALLT,3
2025-01-09,HSAI,3
2025-01-09,ETON,3
2025-01-09,PPTA,3
2025-01-09,TURB,3
2025-01-09,QNCX,3
2025-01-09,CRMD,3
2025-01-09,APLD,3
2025-01-09,AUR,3
2025-01-09,JVA,3
2025-01-09,VRNA,3
2025-01-09,TSL,3
2025-01-09,VST,6
2025-01-09,AVXL,3
2025-01-09,ACHR,3
2025-01-09,LX,3
2025-01-09,LPTH,3
2025-01-09,HOOD,3
2025-01-09,RSI,3
2025-01-09,TVTX,3
2025-01-09,FTK,3
2025-01-09,FTAI,3
2025-01-09,CLS,3
2025-01-09,OPFI,3
2025-01-09,VIOT,3
2025-01-09,SMTC,3
2025-01-09,EAT,3
2025-01-09,PRTH,3
2025-01-09,VNET,3
2025-01-09,AGX,3
2025-01-09,JWEL,3
2025-01-09,KLTR,3
2025-01-09,TLN,3
2025-01-09,DCTH,3
2025-01-09,TSLA,6
2025-01-09,FOSL,3
2025-01-09,ECOR,3
2025-01-09,SE,3
2025-01-09,PLSE,6
2025-01-09,BE,6
2025-01-20,EOSEW,3
2025-01-20,DFEN,3
2025-01-20,MNPR,3
2025-01-20,UAMY,3
2025-01-20,MSTR,3
2025-01-20,DBVT,3
2025-01-20,IONQ,3
2025-01-20,JYD,3
2025-01-20,CURI,3
2025-01-21,ROOT,3
2025-01-21,RAIL,3
2025-01-21,DOYU,3
2025-01-21,HUT,3
2025-01-21,BITX,6
2025-01-21,IREN,3
2025-01-21,SLQT,3
2025-01-21,HIMS,3
2025-01-21,SWIM,3
2025-01-21,MYTE,3
2025-01-21,IESC,3
2025-01-21,PRM,3
2025-01-21,CRS,3
2025-01-21,BMTX,3
2025-01-21,CLPT,3
2025-01-21,SFIX,3
2025-01-21,NGVC,3
2025-01-21,CIA,3
2025-01-22,MVST,3
2025-01-22,UMAC,3
2025-01-22,SMR,3
2025-01-22,PSTX,6
2025-01-22,POWL,3
2025-01-22,MSTY,6
2025-01-22,TPC,3
2025-01-22,RIGL,3
2025-01-22,ARIS,3
2025-01-27,BQ,3
2025-01-27,EBS,3
2025-02-04,MYNZ,6
2025-02-04,TECX,3
2025-02-05,TARA,3
2025-02-09,NXL,1
2025-02-09,NEON,3
2025-02-09,APP,3
2025-02-09,JG,1
2025-02-07,BBAI,1
2025-02-09,SERV,3
2025-02-09,RR,3
2025-02-09,DRUG,3
2025-02-09,INOD,3
2025-02-09,GRRR,3
2025-02-09,RDW,1
2025-02-09,TKNO,1
2025-02-09,CLOV,1
2025-02-09,SATL,1
2025-02-09,LTBR,3
2025-02-09,KINS,3
2025-02-09,CMRX,3
2025-02-09,CVNA,3
2025-02-09,LFVN,3
2025-02-09,GDS,3
2025-02-09,CRDO,3
2025-02-09,CCLD,3
2025-02-09,XGN,3
2025-02-09,DGHI,1
2025-02-09,UPST,3
2025-02-09,DUOT,3
2025-02-09,PL,1
2025-02-09,UNFI,3
2025-02-09,CMPO,1
2025-02-09,INSM,3
2025-02-09,BLIN,1
2025-02-09,LEU,1
2025-02-09,SGHC,1
2025-02-14,PDYN,3
2025-02-14,ALTS,3
2025-02-14,RPID,3
2025-02-14,CPIX,3
2025-02-14,ATHE,3
2025-02-14,DAO,3
2025-02-14,XMTR,3
2025-02-14,PTON,1
2025-02-14,OPRT,3
2025-02-14,ADPT,1
2025-02-14,DOCS,3
2025-02-14,ELDN,3
2025-02-15,AMPX,3
2025-02-15,MBOT,3
2025-02-15,TSE,1
2025-02-15,CAVA,1
2025-02-16,CDXC,3
2025-02-19,SPCB,3
2025-02-20,RDDT,3
2025-02-20,DAVE,3
2025-02-20,NVDX,1
2025-02-27,NUTX,3
