Symbol,Volume-Acceleration(%)
AEVA,312.76
ALMU,715.40
AMBR,82.43
AS,69.22
ATROB,72.63
AXAHY,59.88
BFC,291.63
BH,417.92
BMI,54.21
BWB,90.46
BYDDF,66.61
CFSB,336.53
CLBR,415.55
CNL,312.49
CYD,116.55
DANOY,60.42
DMYY,391.59
DOMO,53.45
EADSY,62.45
FTK,202.25
GBFH,187.43
HBCP,139.39
HIMS,273.91
HOOD,94.68
HSAI,188.61
IPI,75.02
LEU,93.52
LTBR,113.74
MIR,53.67
MYFW,130.53
NAGE,71.62
NRDBY,88.35
NRIM,117.63
OKLO,135.20
ONIT,60.20
OPFI,77.12
ORLA,90.89
PAAS,50.75
PLPC,236.31
PPTA,167.16
PRCH,60.39
QBTS,210.57
RNMBY,166.02
SGAPY,51.23
SMSMY,146.14
SNWV,318.30
SSBK,74.46
STRT,93.08
SWTX,425.89
TXNM,94.04
USAU,187.03
UVV,53.59
XIACY,76.82
